message,label
n e,0
u,0
a,1
u u c,0
i,0
,1
,0
,0
a,1
u r,1
i k,0
,1
a,1
i i a,0
i a,0
,1
,0
u i v i v,0
u b,0
v,1
,0
,0
,0
i i u,0
i,0
a i,0
,0
a,0
,0
i,0
x,0
v n,0
k,0
a,0
,1
i i,0
,0
i b,0
u,0
i,0
i a,0
i i i i i,0
a,1
,0
i i,0
,0
b,0
,0
i a,0
u i i i a,0
,0
a a a,0
k x a,0
i i i i i i,0
,1
,0
c v,1
,0
,0
,0
a i,0
,0
a,0
i,0
i v i,0
a i a,1
u,0
a,1
,1
i,0
,0
,0
,0
,0
u,0
i,0
i a,0
i,0
,0
a,0
,0
k,0
i,0
,0
,0
i,0
u i i,0
i i,0
,0
,0
,0
a i i y,0
u u,0
a,1
i e u,0
,1
u,0
i,0
a a i n u,0
i a,0
i,0
i y u x,0
a,0
,0
i i i,0
,0
a,0
i,0
a,0
i i,0
i,0
,0
,0
i i u u,0
a,1
n,0
i i,0
a u a a,1
,0
,0
,1
u,1
,0
a a,1
i,0
,0
,0
i a i i,0
,0
r u u r r c a,0
,0
,0
,0
,0
q a u,1
,1
i,0
,0
i,0
u u,1
c i i i a v,0
k,0
,0
a d,0
i,0
,0
,0
u,1
,0
,0
,0
i,0
i,0
,0
,0
i i a i i,0
,0
,0
a,0
a,1
a u a a,1
i i i,0
,0
i,0
,1
u a u,1
i e,0
a,1
,0
i,0
,0
i,0
u,0
,0
u a m,0
a,0
,0
u,0
,0
i,0
v,0
i a,0
u,0
i a,0
,0
,0
,0
a,0
a,1
i,0
i i u k,0
,1
a a a,0
i,0
i,0
a,0
a,0
u,0
i,0
i i a i u,0
,0
i,0
u u,0
,0
,0
u,0
i,0
i i,0
,0
,0
i,0
a a,0
,0
,0
,0
,0
,0
i,0
,0
i,0
i i,0
,0
,0
,0
u v a i e,0
,1
,0
u a e g,1
,0
,0
i,0
,0
,0
,0
,0
u a u,1
i,0
a,0
,0
d,0
u a,1
i,0
v,0
,0
i u i e u u,0
u,0
i i i i,0
i,0
,0
a,0
,1
,0
u d n n,0
,0
a,0
,0
,0
,0
i,0
a,1
a,0
,0
u,0
h,0
i,1
,0
a,0
a,0
,1
i,0
,1
,0
a,0
,1
i,0
,0
,0
,0
a,0
,0
,0
a,0
u u,0
i,0
,0
i,0
k i,0
,0
r u a,0
a i i i,0
a,0
,0
u i v,0
,0
,0
i,0
a,1
a,0
i i u a,0
i a,0
a,0
i v,0
a u i,0
a,0
a,0
,1
i i,0
u,0
a u,0
,1
,0
,0
,1
a,0
i u i u u,0
a,0
,0
n,0
,0
,1
i,0
i,0
x,0
u b a x,0
a,0
,0
,0
,0
a,0
,0
i a,0
,0
i,0
a,1
i,0
a,1
i,0
,0
,0
,0
u,0
a,0
i,0
u,0
,0
,0
,0
i u,0
,0
a i x,1
a,0
,0
a,0
i i,0
i,0
,0
i,0
,1
,1
i i i,0
a i,0
,0
,0
,0
i,0
i,0
i z,0
,1
,1
,0
,0
i i i i,0
i,0
,0
i i,0
,1
,0
,0
a,0
,0
i i,0
i a a,0
a,0
a,0
i,0
,1
,0
i,0
,0
,1
u,0
,0
,0
i,0
i i i i,0
,0
,0
u a u a i,0
i a,0
a i i,0
i,0
a a,1
,0
,0
,0
,0
i a,0
,0
a,0
,0
u a y,0
,0
i,0
,0
,0
,1
u,0
i a,0
,1
a,0
a a,1
,0
a,1
,0
a,1
,0
i,0
,0
,0
a i,0
i a a,0
,0
a,0
,1
,0
,0
i,0
g,0
,0
u i,0
i i,0
,0
,0
i i c i a,0
,0
a,0
i a,0
i,0
i,0
,0
k,0
,0
a,0
,0
i,0
,1
i,0
a i u a i u,0
i,0
i,0
a i,0
u,0
,0
,1
,0
i,0
i i,0
,0
,0
e,0
,0
,1
,0
i,0
,1
a i u,0
,0
u,0
,0
k i,0
g,0
u a,0
a,0
,0
i,0
,0
,0
,1
,0
i,0
i a,0
i i,0
c v,1
,0
,0
i,0
,0
i i,0
,0
,0
i,0
u u u u u u,0
,0
,0
i a,0
u,1
e,0
,0
i a,0
,0
,0
a,0
,0
,0
,0
a a,1
,0
,1
,1
u n,0
,0
,0
i,0
,0
,0
a,1
i b n,0
t x,1
a,0
u,1
a,0
,1
,0
,0
,0
a i a,0
i a i a,0
a,0
,0
d,0
i,0
,1
a,0
,0
a,0
,0
,0
i i i,0
,0
,0
i i,0
i a i,0
,0
i a,0
a a a,0
a a a a,0
o,0
,0
i,0
,0
u c i u y,0
,0
e v,0
i i,0
a,1
i i i i,0
u k,0
,0
i a i,0
i,0
u,0
i,0
,0
,0
,0
i,0
a,1
,0
i,0
,1
u r a u d,0
,0
,0
a,1
,0
,0
u a,0
i,0
,0
,0
a,0
a,1
a,1
s i m,1
,0
i a,0
i,0
a,0
,1
,0
,0
,0
u,0
,0
i,0
,0
n,0
,1
i u,0
,0
a,0
u,1
a r d u,0
i,0
c u,0
i,0
i i i,0
v,0
,0
i n,0
,0
,0
u,0
,0
,0
a,0
,0
a,0
i r e,0
,1
a a,1
,0
u,0
a i,0
,0
,1
n,0
,0
,0
,0
i u a,0
,0
i a a,0
a,0
,0
i a,0
u,0
i,0
s i m,1
i,0
a,1
,0
i,0
i,0
i,0
u,0
,0
i u u,0
,0
,0
,1
a a,0
,0
,0
,0
,0
,0
a,0
,0
a,0
u,0
,0
,1
,1
i,0
i,0
i i,0
,0
r u i,0
,0
i u u,0
,0
,0
e,0
i a i i,1
i,0
,0
a a u r u,0
u r u u r i,0
i,0
,1
,0
u n,0
a,0
d a,0
a,0
i,0
,0
,0
,0
,0
r,0
,0
,0
a,0
i,0
i i a,0
,0
i b,0
,1
,1
d,0
g a,0
,1
a,0
i,0
i,0
,1
i,0
a a,1
i,0
,0
,0
,0
,0
i i u r,0
,0
y u i u u,0
a,0
,0
y u,0
,1
,0
i a,0
u c,0
,0
,0
i,0
,1
i,0
u u,0
i,0
,0
i i,0
a,0
,0
,0
i i a,0
u,1
a a,0
,0
,1
,1
,0
,0
r u,0
,0
,0
,0
u,0
i,0
,1
u i i i,0
,1
u u,0
x,0
a a,1
i,0
,0
i a,0
i,0
,0
u d,0
a,0
i,0
,0
,0
,0
i a,0
i,0
,0
,0
i i,0
,0
,1
,0
,0
a,0
a a,1
a,1
a,0
a,0
e,0
u c,0
i i i,0
u,0
,0
,1
,0
i u i,0
a,0
t,1
u i u,0
,1
a,1
k,0
i,0
,0
,0
i i,0
i,0
,0
a,0
,1
i,0
u,1
i,0
,0
,0
,0
u u b,0
i,0
,0
,1
,1
a,0
,0
,0
,0
i,0
,0
u a u r,1
u a a u,0
,1
i,0
,0
a,0
a,1
i a i i i a,0
,1
t x,1
i u u u r u u,0
a,0
,0
,1
,0
i i,0
i i i,0
i,0
x,0
t x,1
u u,0
i i,0
,0
u,0
i,0
,1
,0
,0
,0
,0
,0
a,0
i i a,0
u i,0
a,0
a a,1
i i i,0
s i m,1
i i r,1
u a,1
a u,0
,0
i x,0
a a,0
a,0
u,1
,0
q a u,1
u a,1
u a,1
,1
i a a i a b,0
i i,0
,0
u a,0
,0
i i y,0
y u,0
,0
,0
,0
i,0
,0
i i u i,0
g,0
u u u u,0
a,0
i a,0
,0
,1
i i,0
,0
i i i,0
,0
,0
,0
,1
i,0
,0
,1
i i,0
i,0
i i i i,0
,0
i,0
i,0
a a,0
,0
,0
,0
u,0
,0
i,0
,0
i i m,0
k,0
a i a,0
,0
,0
r a,1
i b u,0
i,0
,0
i,0
a,1
,0
,0
,0
,1
a i,0
,0
,0
,1
a,0
i i a i a,0
i,0
,1
i,0
,0
,0
,0
b,0
,0
,0
,1
i c a,0
a a,0
,0
,0
,0
u u,0
u a,1
u,0
,0
,0
,0
i i,0
u i a i i,0
,0
b,0
c i u,0
,0
i e,0
,0
u,0
i a u u,0
i,0
i,0
,0
i,0
,0
,0
r,1
,0
i,0
,0
i,0
i i i,0
,0
,0
,0
i,0
i c,0
a u,0
i i,0
e,0
,0
a,0
i c i n,0
,0
,0
a,1
,0
i,0
,0
a,0
,1
i i i,0
,0
,0
i a i,0
i,0
i v,0
a u,0
,0
i,0
,1
i,0
v,0
i,0
j i i a,0
a,1
,0
i,0
,0
i a i,0
,0
v,0
,0
a,0
,0
,0
,0
a,0
u,0
i,0
,0
n n n,0
a a,0
,0
,0
,0
,0
i a b i a,0
,1
,0
i,0
,1
i c u i y u,0
u,1
,0
u e,0
i,0
,0
i u,0
,0
u,0
y,0
v,0
d e f,1
,0
i a i,0
,0
,1
,0
,0
i,0
u i,0
u,1
,0
,0
u a,1
u,1
,0
a,0
,0
,0
,0
,0
,0
,0
u,0
,0
u u u u,0
i i i i i a,0
a a v r d v r v v,0
i,0
,0
a t p,1
i,0
a,1
,0
r,0
a a i,0
i i i,0
,0
b a,1
,0
a,0
a u i,0
i,0
,0
n i i c,0
i i,0
a,1
a,0
i i,0
,0
a u i o,0
s,0
,0
,0
,0
i,0
,0
,0
,0
a,1
i,0
a,1
,0
a,1
,0
,0
u,0
,1
,0
a a a a,0
,1
,0
u r,0
,0
,0
i i,0
u e,0
k i a,0
,1
,0
u,0
u a y,0
,0
i u u,1
a,0
a,0
i u u i,0
,1
i,0
a,0
e,0
a,0
,0
,0
i,0
u r r u m,1
u a i,0
i,0
i,0
i,0
,0
,0
,0
k i,0
a,1
d,0
,0
i a,0
i,0
,0
i i i,0
r i u u a,0
,0
u u,1
,0
,0
,0
u u u i b i,0
i a i n v q,0
i,0
,0
,0
,0
,0
k a a,0
i,0
,0
,0
i,0
u,0
,0
i,0
,0
i,0
i a a,0
a a,1
c,0
,1
,0
i,0
n e r y,0
,0
,0
i,0
i,0
,0
a a,1
a p,0
a a,1
i,0
,0
,0
,0
i,0
,0
u i i,0
,0
i,0
,1
,0
,0
a,0
,1
,0
,0
,0
a u a a,1
,0
a,1
,0
,1
,0
i k,0
,0
,0
,0
n x,0
,0
,0
e,0
,0
a,0
i u u,0
i,0
,0
,0
,0
,0
i u,0
u,0
u b,0
i,0
d,0
,1
,0
,0
,0
,0
,0
,0
u,0
,0
a,0
,0
,1
a,0
i,0
,0
i a a a,0
,0
u i u,1
,0
y i u u,0
i i,0
,0
t,1
a,0
u u,0
,0
,0
i,0
u,0
u,0
i,0
a u u,0
i,0
,0
,0
a,0
i,0
u,0
,0
,0
i a,0
i a,0
,0
u e,0
i,0
i,0
k i,0
a,0
,0
,0
i u,0
i n e i c u,0
i a,0
,0
,0
,1
n,1
i i,0
,0
a i,0
u r u i,0
i u r u,0
,0
n e,0
u a i,0
,0
,1
,0
,0
,0
i,0
u u,0
i a,0
i,0
a,0
,0
,1
a,0
i,0
,0
,0
u,0
k,0
a a,0
,0
,0
c,0
i,0
,0
,0
a,0
,0
i,0
,0
,0
i a,0
,0
,0
a c,1
,0
,0
u,0
,0
i i,0
,0
u,0
i,0
i,0
i u u d u,0
,0
u r u,0
,0
i,0
i i,0
,1
,0
i,0
a,0
,0
,0
i n,0
,0
,1
,1
,0
,0
,1
,0
,1
i u,0
,0
i a,0
,0
u d u u d d a u d f d a g o o d n i g h t,0
i,0
e,0
a a,0
,0
a e,0
i a i,0
,0
b i,0
,0
r,0
i a,0
i,0
u,0
i,0
,0
i,0
e u,0
,0
,0
,0
,0
a,1
,0
,0
,0
,0
u,0
u d n n,0
u,1
,0
x,0
,0
i a i i a,0
a,0
,0
,0
,0
,1
,0
,0
,0
,0
r,0
a,0
,1
i a,0
i i,0
,0
a,0
i,0
,0
i,0
i,0
,0
i,0
u a,0
,0
i u,0
a,1
,0
i a,0
u b a u r i,0
a i,0
a a,1
,0
,0
i,0
i,0
,0
,0
a,1
u i n,0
u c u,1
u u u u u u,0
,1
,0
,0
a,1
i c i,0
u i i n,0
a a,1
,0
i,0
i b u x,1
,0
,0
u,0
,0
i a,0
a a e,0
,0
w u a,0
,0
i a,0
,0
,0
a,0
,0
,0
,0
i i i,0
i a,0
i,0
,0
i,0
i i i a,0
,1
,0
a,0
a c,0
u e,0
,0
,0
n r,0
u r,1
,0
a,1
,0
,0
,0
,0
a,1
u d n n,0
,0
u u u,0
,0
,0
i a i a,0
,0
,0
i,0
i,0
,1
i,0
,0
a,1
,0
i u e i n,0
,0
,0
,0
i i i i,0
,0
,0
i a,0
i,0
i o,0
,0
i v,0
,0
a,1
u,0
,0
,0
i i,0
k,0
u a,0
,0
,1
,0
,0
u,0
i,0
i,0
,0
a,0
e u,0
u,0
,0
u,0
i,0
a,0
r u,0
i i a,0
a,0
a,0
a,0
a,0
,0
,0
g i a i,0
i i,0
,0
,0
i,0
,0
,0
,1
a,1
e e w c u,0
u,0
i i,0
i a u i,0
a u a,0
i,0
i,0
,0
,0
,0
,0
i r a i,0
,0
u u u u u,0
,0
i a a a,0
u a u,0
,0
,0
s i m,1
a u u,0
,0
a a b a,1
a,1
,0
i,0
,0
,0
,0
u a,0
a u,0
,0
,0
u b,0
,0
,0
a,0
,0
,1
u,0
,0
i,0
k i,0
u,0
,0
u,0
i i i,0
,0
u a,1
,0
,1
i,0
,0
,1
i,0
a,0
i,0
w,0
i a,0
,0
,1
a,0
i i i a i,0
a a b g,1
,0
u a c,1
,0
i i,0
,0
u,0
,0
,0
,0
v,0
u u u u,0
a,0
i i,0
i b,0
a,1
i i a i r,0
x,0
,0
i a,0
,0
,1
,0
,0
i,0
,1
s,0
v,0
i v n i e r,0
,0
,0
,0
n i d,0
,0
,0
u a,1
,1
,0
i,0
,0
u,0
,0
u,0
,0
y,0
u r i u,0
,0
,0
,0
a,1
,1
,0
,0
q a u,1
i,0
,0
r u r,0
,0
i i,0
i,0
,0
a,1
,0
,0
,0
i,0
p,0
i,0
,0
i a,0
i,0
,0
u b a,0
,0
i,0
o i,0
,1
i,0
u,0
a,0
r,1
,0
u u u,0
u u u u u u,0
,0
,0
u i,0
,0
i,0
u,0
i,0
,0
i,0
w,0
i,0
k,0
,1
i,0
,0
i,0
i a,0
k,0
u,0
a x,1
i i,0
u r u j,0
i,0
,1
i x,0
i,0
i u,0
a,0
b,0
,0
n,0
,0
u,0
i,0
,0
i u,0
,0
,0
u a u,0
u,0
,0
,0
,0
,1
,0
a,1
k,0
a a,0
e i u u,0
,0
i,0
i i i,0
,0
,0
u i,0
,1
a,1
,0
,1
u,1
c u,0
a,0
i,0
u u u u u,0
i u i u,0
,0
,0
u d,0
a,0
u a,0
u b u i u u,0
a t,1
i,0
i,0
i i a a i,0
i,0
i,0
i,0
,0
i i,0
i,0
,0
,0
,0
,0
a a,1
a i,0
a i,0
a,0
,0
n,0
,0
,0
i u,0
u,0
,0
i,0
i,0
,0
,0
i a i i i i,0
,0
u y u u,0
,0
u u u u,0
i i a,0
a,0
i,0
,1
,0
i a,0
,0
i,0
i a,0
,0
,0
,0
a,1
i a i,0
i a u,0
i,0
,0
,0
,0
u u,0
,0
,1
i,0
,0
,0
,0
u u,1
i,0
,0
,0
i u c,0
i a,0
i,0
,0
a,0
i u,0
i i i i i i a i a,0
,0
i,0
,0
i,0
i,0
i,0
,0
,0
i i,0
i i,0
a a,1
,1
,1
i,0
a a a,0
i a,0
u a,1
a,0
,0
i,0
,0
i,0
i a i,0
u,1
,1
,0
i,0
,0
i,0
,1
,0
u i u,1
,0
i u u,0
,0
u,0
i,0
u,0
,0
,0
a a,1
e,0
,0
,0
u,0
r u a i a u u,0
u,0
,0
,0
i,0
,0
,1
,0
,0
n u,0
s,0
i u i u w u n u,0
,0
i,0
i,0
,0
,0
,0
a i,0
,0
u u,1
a,1
,0
i,0
,0
r u,0
a,0
,0
,0
i i,0
,0
,1
i a,0
,1
,0
i i i,0
a i,0
,0
,0
,0
i a,0
,0
i,0
,0
j u,0
a u,0
,0
,0
,0
a,0
i,0
,0
a,1
,0
,1
,0
d d d,0
,0
a i,0
i d,0
i i,0
a,1
,0
,0
,0
i u a,0
i,0
,0
i,0
,1
,0
,0
,0
,0
i,0
i a a,0
,1
e e n i a i u,0
,0
,0
,0
i,0
i a u,0
i,0
,1
u e,0
,0
i,0
i a,0
i i,0
i a,0
i,0
b,0
,0
a,1
,0
i,0
,0
,0
,0
,0
i i i i i a i i,0
i i,0
a i a,0
,0
a,1
u,0
i i u a,0
,0
,0
a,0
,0
,0
i i a,0
u,1
i,0
u i,0
,0
,0
,0
,0
,0
y u u u,0
i u k,0
,0
u,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
i a,0
i,0
,0
k,0
,0
,0
,0
i u u,0
u,1
i u,0
y i n,0
i,0
,0
i,0
,0
,0
i,0
i i i i i,0
,0
a,1
n u u a r r i u u u u,0
c,0
,0
,0
,0
,1
m f a g,1
,0
,0
,1
,0
i,0
,0
i,0
,1
i,0
,0
,0
,0
,0
a,0
i a,0
,0
u x,0
,1
i i i i a i i i,0
,0
,0
i,0
t,1
,1
,0
,0
,0
i,0
,1
,0
i a u,0
,0
a,0
i,0
i u,0
i,0
,0
a c,1
,0
,0
i,0
a a a,1
,0
a,1
i i,0
,0
u,0
u,1
i,0
i,0
i n,0
,0
u,1
,0
,0
a,0
a,0
,0
,0
i i,0
,0
,1
i i i,0
,0
a a,0
,0
,0
k,0
i i,0
,0
,0
,0
u a,0
c a,1
a,1
,0
,0
i i,0
,0
,0
i,0
,0
i i,0
i,0
,0
i,0
a n i i i u i a i a a n i,0
i,0
,1
,0
,0
,0
a u u,0
,0
,0
i,0
,0
a,0
u,1
i,0
i,0
,0
a,0
i,0
,0
,0
k,0
i a a,0
,0
i i a,0
,0
u a,0
n,0
i a i,0
,0
i,0
,0
,1
i i,0
u a,0
i,0
,0
i e i,0
,0
,0
,0
,0
a,0
i,0
,0
a,0
,0
i,0
a,0
a i,0
a,1
,0
s,1
,0
,0
a a a i,0
a,0
i,0
n u,0
,0
u,0
u,0
i,0
a a,1
u,0
i a,0
i a u r,0
,1
i,0
a n e u,0
,0
,0
,0
,0
,0
k i,0
,0
,0
,0
u,0
i,0
,0
,0
i,0
k,0
u,0
i,0
,0
,0
a,0
x u a,1
u c i,1
,0
,1
i i,0
i u c d i,0
e b,0
,0
,0
i i a,0
,0
,0
a n i,0
,0
a u,1
u c,0
,0
a,1
i i i,0
i a,0
,1
u,0
,1
i i,0
u,0
a a,0
a,0
,0
i a,0
,0
u,0
r u i,0
,0
,0
r,0
i i m u,0
,0
i n,0
,0
,0
i i a,0
a i i,0
,0
,1
u u x,0
i,0
v,0
i i,0
,1
u a u u a,0
,1
,0
d,0
c v,1
,0
,0
a,0
i,0
o u r i u r,0
,0
,0
a a,1
a u,1
i,0
a,1
a u,1
,1
,0
,0
,0
i,0
,0
,0
,0
a,0
,0
i u,0
i,0
,0
,0
a u,0
a,1
,0
,0
u,0
,0
,0
,0
,0
i i,0
,0
,0
a,0
,0
i,0
,0
,1
,0
,0
i u,0
n,0
i,0
,0
,0
,0
u u,1
,0
,1
r,0
i a i i,0
,0
,0
,0
a a a,1
i,0
i,0
a,0
,1
i,0
,0
,1
v b,0
r,0
a a d d a d d n u d d n d n d i,0
a,0
,0
y,0
u a,1
,0
u r a i u u,0
a,0
,1
s a,0
a i i a i i i a,0
i i,0
i i u u u,0
i,0
,0
,0
a,1
,0
,0
,0
a,0
,0
u,0
i i,0
,0
i u i u,0
,0
,0
r u,0
,0
,0
,0
u u a a a n,1
n,0
,0
i,0
,0
i,0
d a i i i d a d u r,0
i,0
u u i u,0
,0
,0
i u u,1
a i a,0
o,0
y n,0
i,0
e,0
a,0
,1
n,0
i a,0
a,0
,0
k a,0
i i,0
a,1
i a,0
i,0
i a i i,1
,0
a,0
u,0
r a,0
i i a i,0
i,0
a,0
,1
i,0
,0
i,0
,0
i,0
,0
i i,0
i i,0
,0
i n c,0
u,0
,0
,0
i,0
i,0
,0
u u,0
a,0
,0
,0
,0
i,0
i i,0
,0
i,0
i,0
,0
,0
,0
,0
a,0
,0
a,0
,0
t,1
,0
i a,0
i,0
i u,0
i,0
,0
a a,1
,1
,0
a,0
,0
,0
i,0
i a,0
k i,0
e i,0
i i a,0
b k,0
,0
i a,0
a,0
i,0
a a,1
,0
i,0
i,0
c,0
,0
i,0
i a u a u b,0
i,0
i i a i,0
s,0
u,0
,0
,0
u u u u e c,0
,0
,0
u a i u c i,0
u a a u u,1
,0
,0
,0
,0
,0
i e u,0
,0
,0
i b i,0
,0
,1
i u c,0
u,0
i i i i,0
,0
a i,0
,0
a,0
,0
,0
r u,0
a,0
,0
y n c,0
,0
,0
,0
i,0
,0
,0
d d,0
i,0
,0
,1
a,0
e,0
,0
c,0
,0
,0
,0
a,1
,0
,1
a,0
i u,0
,0
,0
i,0
,0
a a,0
i i a i a,0
i a,0
i,0
i,0
,0
,0
,0
a a a,0
r,1
,1
,0
u,0
u,0
i,0
i,0
u,1
,0
,1
i,0
,0
i,0
n,0
a,0
,0
u,1
i i i,0
,0
a,0
i,0
u u,0
q a u,1
a,0
a,0
,0
a i,0
,0
,0
,0
i,0
,0
u u i a,0
r u p,0
i a,0
,0
,0
,0
r a a,1
o,0
,0
i i i i i i a i,0
,0
i,0
i a,0
,0
,1
,0
b a u,0
,0
,0
s r,0
a,1
,0
i,0
,0
u r i u a r a c u,0
,0
a,1
i,0
i v,0
i,0
,0
,0
i a a,0
,0
,0
,0
a a,1
,0
v,0
,0
,0
a a,0
a,0
i a,0
i,0
,0
,0
,0
,0
,0
i,0
v,0
,0
u,0
,0
,0
,0
i a,1
,1
a,0
r u,0
a i i i,0
,0
,1
a,1
,0
,0
,0
i,0
i a,0
i i i,0
a,0
,0
,0
,1
d a i i i d a d u r,0
,0
i a a i i,0
,0
,0
u a,1
r i,0
,0
i,0
c u,0
a,1
,0
a,1
i,0
i,0
i,0
,0
,0
,1
,0
i u d u u u,0
i,0
,0
n,0
a,1
i,0
s i,0
,1
a,0
i,0
,1
u d n n,0
,0
i,0
i u,0
i,0
,0
,0
u,1
n,0
,0
,0
,0
a,0
c,0
,0
i,0
u,0
a,1
,1
i,0
i,0
i i,0
,0
a,0
i,0
i,0
u u a u c,0
i g,0
,0
,0
i u u,1
u u,0
,0
,0
r,0
k,0
,0
,0
,0
u i,0
w i u,0
,0
a a a,0
i,0
r,0
a,0
a,0
,0
i i,0
i a,0
i i,0
i,0
i u c,0
,0
,0
,1
v v,0
i,0
a a,1
,0
,0
,0
a a,1
u,0
,0
,0
n,0
a,1
i,0
i i a,0
,0
,0
a,0
k s,0
,0
i b n n b n,0
